id,email,full_name,phone,aadhaar_no,pan_no,street_address,city,consent_purposes,password,created_at
usr_c2fa82d38b8e,pallavi.dubey1@example.in,Pallavi Dubey,+919775947976,8173-8708-6544,KVUPA3907K,"164, FC Road, Sector 34",Hyderabad,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Pallavi!747614F4,2026-07-09T10:59:26.164Z
usr_a77aa1782053,rohan.pillai2@example.in,Rohan Pillai,+917741973034,2584-7364-7164,NIXPT0274T,"795, Anna Salai, Sector 43",Ahmedabad,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Rohan!9249C11D,2026-03-29T10:59:26.165Z
usr_c94f2a5d03d4,aditya.menon3@example.in,Aditya Menon,+917296745159,7689-1173-9343,JFNPN4940D,"516, Indiranagar, Sector 38",Indore,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Aditya&23580EA3,2026-06-01T10:59:26.165Z
usr_ef0f27a70dde,aditya.malhotra4@example.in,Aditya Malhotra,+918231357925,2023-1548-9332,ADYPF7685W,"571, Banjara Hills, Sector 31",Chennai,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Aditya$4416AA5C,2026-08-16T10:59:26.165Z
usr_713b77d33d02,ritika.verma5@example.in,Ritika Verma,+918289800671,2061-3137-1235,QONPQ4263M,"907, Brigade Road, Sector 30",Kochi,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Ritika%939839F3,2026-06-12T10:59:26.165Z
usr_a21cf0cfb2d7,manish.chatterjee6@example.in,Manish Chatterjee,+917266106690,6928-6457-4460,VYBPX9395Y,"627, M.G. Road, Sector 43",Hyderabad,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Manish!3037CA77,2026-07-06T10:59:26.165Z
usr_9fa823a35d03,abhishek.joshi7@example.in,Abhishek Joshi,+919893442426,5534-1657-9469,ATYPC3322V,"645, Sector 17, Sector 29",Pune,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Abhishek@78515D0F,2026-04-08T10:59:26.165Z
usr_849497e377b8,neha.patel8@example.in,Neha Patel,+918871978450,4157-4514-1989,UBVPQ6715P,"812, MI Road, Sector 22",Kochi,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Neha$23884427,2026-05-13T10:59:26.165Z
usr_92a9028d3ac2,shweta.bhatia9@example.in,Shweta Bhatia,+917120443631,6956-4484-2095,VGBPA4185D,"18, Anna Salai, Sector 8",Indore,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Shweta$661961F7,2026-06-23T10:59:26.165Z
usr_e33c89e2cfde,bhavna.saxena10@example.in,Bhavna Saxena,+919593770920,6229-9324-8374,NJHPC5932Y,"769, Indiranagar, Sector 6",Bengaluru,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Bhavna$40407BD0,2026-03-30T10:59:26.165Z
